Port,Protocol,Count
961,TCP,11
43040,ESP,1
873,ICMP,8
23027,TCP,1
50573,OSPF,1
740,ICMP,10
207,AH,10
50142,AH,1
514,ICMPv6,9
647,ICMPv6,8
698,GRE,9
45272,IPv6,1
565,GRE,13
44,ICMP,9
54329,UDP,1
509,OSPF,10
42,ICMP,10
5665,TCP,1
58628,ESP,1
585,ESP,6
452,ESP,8
156,IPv6,8
289,IPv6,18
13991,IPv6,1
962,TCP,11
300,GRE,14
951,UDP,13
872,ICMP,13
513,ICMPv6,15
25464,ICMP,1
208,AH,13
646,ICMPv6,6
566,GRE,14
64625,GRE,1
43,ICMP,6
433,GRE,9
699,GRE,8
65167,ICMP,1
779,ICMPv6,11
453,ESP,11
26795,ICMP,1
586,ESP,13
159,IPv6,10
8507,AH,1
320,ESP,7
59935,GRE,1
35917,OSPF,1
952,UDP,9
963,TCP,7
61206,ICMP,1
875,ICMP,11
742,ICMP,8
830,TCP,11
6731,TCP,1
209,AH,9
33750,ICMP,1
301,GRE,8
46,ICMP,8
434,GRE,11
567,GRE,5
321,ESP,8
454,ESP,7
158,IPv6,8
7086,UDP,1
587,ESP,12
874,ICMP,10
741,ICMP,10
831,TCP,10
953,UDP,12
820,UDP,10
964,TCP,6
33035,IPv6,1
435,GRE,9
519,ICMPv6,10
45,ICMP,11
568,GRE,12
302,GRE,8
11890,ESP,1
59823,ESP,1
32238,GRE,1
56209,GRE,1
65257,TCP,1
322,ESP,9
24215,UDP,1
821,UDP,3
832,TCP,15
611,ICMP,12
57407,GRE,1
588,ESP,11
954,UDP,9
965,TCP,12
455,ESP,7
48,ICMP,10
569,GRE,9
877,ICMP,13
744,ICMP,6
7974,ICMP,1
27558,GRE,1
303,GRE,9
436,GRE,11
518,ICMPv6,19
40602,ICMPv6,1
59356,UDP,1
10879,OSPF,1
32688,ICMP,1
56229,ESP,1
700,TCP,4
822,UDP,11
58079,ICMP,1
833,TCP,4
610,ICMP,12
743,ICMP,6
966,TCP,10
955,UDP,10
323,ESP,16
589,ESP,12
456,ESP,6
47,ICMP,3
437,GRE,6
876,ICMP,9
27996,ICMP,1
517,ICMPv6,9
304,GRE,12
40869,ICMPv6,1
33321,ESP,1
17680,IPv6,1
12481,UDP,1
1022,IPv6,13
6181,IPv6,1
58819,ICMPv6,1
60472,UDP,1
701,TCP,10
58764,ESP,1
823,UDP,12
834,TCP,9
967,TCP,12
457,ESP,11
956,UDP,13
42164,ICMPv6,1
12837,AH,1
324,ESP,14
879,ICMP,14
29114,UDP,1
746,ICMP,12
305,GRE,6
438,GRE,8
36007,OSPF,1
37037,AH,1
613,ICMP,10
55707,IPv6,1
1021,IPv6,7
48908,ESP,1
58042,TCP,1
44382,AH,1
62870,UDP,1
16350,IPv6,1
17199,OSPF,1
702,TCP,11
835,TCP,10
824,UDP,8
325,ESP,13
458,ESP,11
63501,ICMPv6,1
439,GRE,10
878,ICMP,10
49,ICMP,16
745,ICMP,10
59494,UDP,1
20330,OSPF,1
968,TCP,13
957,UDP,9
306,GRE,5
55411,TCP,1
612,ICMP,7
13852,IPv6,1
53738,ESP,1
61977,IPv6,1
1020,IPv6,7
59812,GRE,1
12789,IPv6,1
11995,GRE,1
56236,ESP,1
40374,IPv6,1
49592,OSPF,1
36756,IPv6,1
20599,OSPF,1
55459,ICMP,1
459,ESP,12
13693,TCP,1
703,TCP,11
9961,AH,1
22561,AH,1
49516,TCP,1
326,ESP,5
3912,ICMPv6,1
307,GRE,8
958,UDP,8
969,TCP,7
37782,UDP,1
836,TCP,6
825,UDP,9
33028,IPv6,1
53868,ESP,1
615,ICMP,8
748,ICMP,7
58746,GRE,1
58879,GRE,1
309,GRE,12
21542,ICMPv6,1
58204,IPv6,1
43353,OSPF,1
63628,OSPF,1
62122,AH,1
63898,ICMPv6,1
327,ESP,14
2715,ICMPv6,1
747,ICMP,8
308,GRE,9
959,UDP,7
59241,TCP,2
59374,TCP,1
704,TCP,8
53869,ESP,1
826,UDP,10
837,TCP,8
53736,ESP,1
14496,GRE,1
614,ICMP,8
4753,IPv6,1
64958,OSPF,1
62530,ICMP,1
49470,ICMPv6,1
36330,TCP,2
62254,AH,1
14699,OSPF,1
328,ESP,6
7433,AH,1
6368,AH,1
617,ICMP,8
35398,TCP,1
705,TCP,11
827,UDP,8
838,TCP,12
37152,ESP,1
30021,ICMP,1
56996,UDP,1
57619,OSPF,1
63554,GRE,1
25493,OSPF,1
14398,AH,1
329,ESP,7
616,ICMP,12
18393,OSPF,1
48140,ICMPv6,1
749,ICMP,12
706,TCP,9
40721,OSPF,1
828,UDP,7
839,TCP,8
59849,AH,1
70,OSPF,12
58949,OSPF,1
57136,IPv6,1
8767,AH,1
36587,UDP,1
64772,ESP,1
59662,IPv6,1
829,UDP,12
63951,TCP,1
619,ICMP,10
53017,TCP,1
53739,ESP,1
707,TCP,5
6053,IPv6,1
38850,UDP,1
48568,UDP,1
62438,ICMPv6,2
58817,OSPF,1
62664,ICMP,1
5284,ESP,1
62914,IPv6,1
56998,UDP,1
64773,ESP,1
40689,AH,1
59530,IPv6,1
708,TCP,9
618,ICMP,4
61053,AH,1
63279,IPv6,1
45647,ICMPv6,1
81,ICMPv6,10
72,OSPF,11
60814,ESP,1
58947,OSPF,1
34544,AH,1
58511,AH,1
53435,IPv6,1
57690,ESP,1
49341,ICMPv6,1
25498,OSPF,1
57748,OSPF,1
33590,ESP,1
709,TCP,9
73,OSPF,9
19791,TCP,1
80,ICMPv6,12
31571,TCP,1
71,OSPF,10
60946,ESP,1
30810,GRE,1
53301,IPv6,1
30150,ICMP,1
780,ICMPv6,10
62243,ESP,1
54094,ESP,1
62376,ESP,1
22613,ICMPv6,1
56992,UDP,1
51974,TCP,1
14675,ICMP,1
52103,IPv6,1
31916,AH,1
61231,ICMPv6,1
55140,GRE,1
62224,GRE,1
59044,OSPF,1
60158,OSPF,1
31730,IPv6,1
55701,IPv6,1
59791,IPv6,1
781,ICMPv6,14
37025,ESP,1
771,OSPF,6
38999,TCP,1
58891,ESP,1
48443,TCP,1
51700,UDP,1
62223,GRE,1
52062,UDP,1
51977,TCP,1
75,OSPF,13
20955,IPv6,1
3701,GRE,1
470,AH,9
50135,ESP,1
22660,GRE,1
60773,IPv6,1
52950,ICMP,1
39608,OSPF,1
782,ICMPv6,10
13346,ICMP,1
770,OSPF,10
3608,AH,1
51466,ESP,1
74,OSPF,9
52101,IPv6,1
51965,UDP,1
24830,AH,1
31040,GRE,1
54092,ESP,1
56688,ICMPv6,1
471,AH,8
56555,ICMPv6,1
85,ICMPv6,10
50515,TCP,1
23994,GRE,1
773,OSPF,10
640,OSPF,6
10929,UDP,1
77,OSPF,12
64822,OSPF,1
56412,OSPF,1
472,AH,9
55540,TCP,1
84,ICMPv6,8
55662,UDP,1
60475,UDP,1
5030,AH,1
1832,TCP,1
18882,IPv6,1
772,OSPF,10
61673,UDP,1
12276,ICMP,1
53134,UDP,1
76,OSPF,10
42939,ESP,1
12226,UDP,1
51529,ICMPv6,1
51626,ICMP,1
20823,IPv6,1
59043,OSPF,1
473,AH,14
340,AH,10
9009,ICMP,1
83,ICMPv6,7
290,IPv6,11
52077,TCP,1
54023,ICMPv6,1
13343,ICMP,1
47495,UDP,1
1024,IPv6,15
19332,OSPF,1
49205,OSPF,1
61154,GRE,1
775,OSPF,5
642,OSPF,7
39088,UDP,1
22743,ICMPv6,1
20021,ESP,1
15286,IPv6,1
79,OSPF,11
341,AH,12
48146,ICMPv6,1
62696,ICMPv6,1
82,ICMPv6,11
1023,IPv6,8
52105,IPv6,1
60511,IPv6,1
39933,TCP,1
50505,UDP,1
60777,IPv6,1
474,AH,3
12957,ESP,1
42208,UDP,1
52516,GRE,1
641,OSPF,16
61153,GRE,1
774,OSPF,14
78,OSPF,3
65159,ICMP,1
51779,ICMPv6,1
45569,GRE,1
292,IPv6,9
787,ICMPv6,10
22534,GRE,1
57692,AH,1
47384,UDP,1
475,AH,10
50439,OSPF,1
342,AH,12
50306,OSPF,1
51467,AH,1
520,ICMPv6,15
653,ICMPv6,9
511,OSPF,14
5406,UDP,1
644,OSPF,6
777,OSPF,5
23732,GRE,1
50380,ESP,1
210,AH,4
54001,OSPF,1
291,IPv6,9
51512,ICMPv6,1
788,ICMPv6,8
476,AH,9
343,AH,8
19643,UDP,1
42826,ESP,1
652,ICMPv6,15
51691,GRE,1
643,OSPF,7
510,OSPF,11
89,ICMPv6,12
776,OSPF,8
7727,ICMP,1
31396,ICMPv6,1
25297,GRE,1
64505,ESP,1
57993,OSPF,1
18366,ICMP,1
211,AH,11
294,IPv6,12
30068,ICMPv6,1
161,IPv6,10
789,ICMPv6,12
477,AH,7
15736,ICMP,1
344,AH,5
45963,TCP,1
63807,UDP,1
651,ICMPv6,7
88,ICMPv6,5
50084,IPv6,1
513,OSPF,8
18575,UDP,1
779,OSPF,11
646,OSPF,5
9967,ESP,1
56664,OSPF,1
212,AH,12
160,IPv6,9
54141,ICMPv6,1
293,IPv6,11
86,ICMPv6,15
478,AH,10
345,AH,10
49800,IPv6,1
54136,OSPF,1
650,ICMPv6,15
3606,ESP,1
50317,ICMPv6,1
19389,GRE,1
570,GRE,13
87,ICMPv6,14
645,OSPF,5
31132,ICMPv6,1
512,OSPF,10
778,OSPF,18
55334,OSPF,1
163,IPv6,10
296,IPv6,15
213,AH,13
25563,TCP,1
26577,ICMPv6,1
479,AH,13
346,AH,12
783,ICMPv6,9
590,ESP,11
45339,AH,1
22616,ICMPv6,1
571,GRE,15
17822,GRE,1
524,ICMPv6,8
657,ICMPv6,16
9369,UDP,1
515,OSPF,16
648,OSPF,5
44008,AH,1
295,IPv6,13
162,IPv6,11
22423,ESP,1
214,AH,10
60805,ESP,1
56791,OSPF,1
347,AH,9
784,ICMPv6,14
49552,ICMP,1
62681,OSPF,1
591,ESP,9
47737,AH,1
572,GRE,8
61019,GRE,1
61484,OSPF,1
523,ICMPv6,6
656,ICMPv6,13
647,OSPF,12
514,OSPF,6
42276,ICMP,1
25168,GRE,1
53961,GRE,1
52486,IPv6,1
58906,ICMP,1
50009,AH,1
518,OSPF,8
165,IPv6,7
51,ICMP,8
50253,ESP,1
23739,GRE,1
215,AH,12
28402,AH,1
15732,ICMP,1
348,AH,6
49803,IPv6,1
785,ICMPv6,17
298,IPv6,11
65028,ICMP,1
592,ESP,7
47867,AH,1
573,GRE,11
881,ICMP,16
440,GRE,9
55595,OSPF,1
34407,ESP,1
522,ICMPv6,6
655,ICMPv6,9
517,OSPF,10
164,IPv6,10
50,ICMP,6
53902,OSPF,1
297,IPv6,11
216,AH,12
349,AH,4
786,ICMPv6,15
970,TCP,14
460,ESP,9
593,ESP,8
880,ICMP,1
441,GRE,12
574,GRE,14
521,ICMPv6,11
654,ICMPv6,9
37483,OSPF,1
649,OSPF,11
516,OSPF,9
53,ICMP,7
48607,IPv6,1
217,AH,16
594,ESP,9
461,ESP,13
64468,IPv6,1
64335,IPv6,1
63412,GRE,1
167,IPv6,8
442,GRE,6
750,ICMP,11
575,GRE,6
971,TCP,11
960,UDP,11
883,ICMP,8
34538,ESP,1
65494,UDP,1
55019,ESP,1
34915,TCP,1
54,ICMP,14
528,ICMPv6,15
519,OSPF,10
52,ICMP,5
28062,TCP,1
65152,ICMP,1
62787,ICMP,1
54919,ESP,1
595,ESP,12
29556,IPv6,1
4389,ICMP,1
462,ESP,7
299,IPv6,7
166,IPv6,7
58812,ICMPv6,1
310,GRE,10
882,ICMP,4
443,GRE,14
972,TCP,4
961,UDP,8
49689,ICMP,1
218,AH,8
63931,UDP,1
61184,AH,1
527,ICMPv6,13
576,GRE,8
56719,UDP,1
10,TCP,10
24279,ICMP,1
41165,TCP,1
330,ESP,9
596,ESP,12
463,ESP,7
64204,IPv6,1
14262,AH,1
169,IPv6,9
311,GRE,8
962,UDP,14
63548,GRE,1
973,TCP,8
840,TCP,10
885,ICMP,6
752,ICMP,5
65374,TCP,1
219,AH,6
526,ICMPv6,14
659,ICMPv6,8
577,GRE,8
444,GRE,9
56,ICMP,12
11,TCP,12
24278,ICMP,1
42935,GRE,1
464,ESP,16
51593,AH,1
43032,GRE,1
7695,ESP,1
597,ESP,13
58749,ESP,1
331,ESP,4
168,IPv6,9
974,TCP,15
963,UDP,15
63987,ICMP,1
50575,ICMPv6,1
884,ICMP,12
830,UDP,11
841,TCP,6
751,ICMP,11
26885,UDP,1
525,ICMPv6,7
658,ICMPv6,13
52790,AH,1
35097,ICMPv6,1
55,ICMP,16
59225,TCP,1
312,GRE,8
578,GRE,8
445,GRE,11
62909,IPv6,1
12,TCP,8
332,ESP,13
465,ESP,7
58021,TCP,1
53196,OSPF,1
621,ICMP,9
754,ICMP,10
598,ESP,7
831,UDP,13
975,TCP,7
964,UDP,15
842,TCP,8
58,ICMP,10
887,ICMP,13
446,GRE,7
579,GRE,7
313,GRE,9
13,TCP,15
51898,OSPF,1
58949,ICMPv6,1
30708,ESP,1
19514,UDP,1
200,ESP,9
333,ESP,8
34112,IPv6,1
6655,ICMP,1
63802,UDP,1
56215,ESP,1
38387,AH,1
832,UDP,17
843,TCP,10
620,ICMP,16
41948,ICMPv6,1
64338,IPv6,1
886,ICMP,5
599,ESP,10
753,ICMP,16
466,ESP,15
965,UDP,12
976,TCP,10
710,TCP,13
64088,ICMP,1
6367,ESP,1
59474,UDP,1
35575,IPv6,1
314,GRE,15
14,TCP,10
447,GRE,13
57,ICMP,7
5403,UDP,1
201,ESP,9
26106,GRE,1
58278,UDP,2
58613,ESP,1
700,UDP,10
711,TCP,7
833,UDP,8
844,TCP,5
966,UDP,12
977,TCP,6
334,ESP,12
467,ESP,7
889,ICMP,12
756,ICMP,9
448,GRE,9
623,ICMP,10
15,TCP,6
315,GRE,6
59355,TCP,1
39452,AH,1
56637,ICMP,1
19789,TCP,1
701,UDP,11
712,TCP,3
834,UDP,12
845,TCP,13
58449,IPv6,1
622,ICMP,14
468,ESP,7
978,TCP,10
967,UDP,12
202,ESP,12
335,ESP,6
33632,ICMP,1
39586,AH,1
59,ICMP,5
59210,UDP,1
316,GRE,12
888,ICMP,11
449,GRE,8
755,ICMP,5
59514,IPv6,1
529,ICMPv6,7
64923,ICMP,1
16,TCP,10
13369,ICMPv6,1
57553,ESP,1
58162,TCP,1
34953,ICMP,1
56854,UDP,1
702,UDP,11
713,TCP,16
846,TCP,13
835,UDP,14
336,ESP,14
469,ESP,9
203,ESP,8
758,ICMP,8
57086,UDP,1
968,UDP,12
979,TCP,9
317,GRE,9
3926,ICMPv6,1
59950,ESP,1
625,ICMP,11
17,TCP,9
64814,OSPF,1
64823,ICMPv6,1
59930,GRE,1
56722,UDP,1
34952,ICMP,1
63614,OSPF,1
56999,TCP,1
714,TCP,14
703,UDP,6
204,ESP,16
337,ESP,8
59482,UDP,1
318,GRE,15
43196,AH,1
18,TCP,8
757,ICMP,10
61272,GRE,1
969,UDP,12
57087,UDP,1
37583,ICMP,1
847,TCP,6
836,UDP,13
51826,UDP,1
624,ICMP,8
55446,ICMP,1
2772,GRE,1
54116,ICMP,1
52525,ESP,1
53705,GRE,1
60591,UDP,1
62198,IPv6,1
56357,ESP,1
32654,TCP,1
34238,IPv6,1
338,ESP,11
205,ESP,11
627,ICMP,10
31577,UDP,1
19,TCP,17
319,GRE,14
6685,ICMPv6,1
704,UDP,8
715,TCP,8
14483,GRE,1
848,TCP,11
837,UDP,11
39878,OSPF,1
43366,ICMPv6,1
55153,ESP,1
60769,IPv6,1
3301,IPv6,1
34106,IPv6,1
52508,GRE,1
6471,GRE,1
339,ESP,7
206,ESP,3
716,TCP,5
705,UDP,9
838,UDP,11
849,TCP,12
759,ICMP,5
626,ICMP,7
20270,GRE,1
80,OSPF,11
33321,GRE,1
28638,GRE,1
36254,ICMP,1
56994,TCP,1
32141,ESP,1
58503,AH,1
3302,IPv6,1
207,ESP,6
14554,OSPF,1
63133,IPv6,1
629,ICMP,11
37674,TCP,1
706,UDP,13
717,TCP,6
839,UDP,9
55404,TCP,1
37357,ICMPv6,1
7670,GRE,1
6063,IPv6,1
38902,IPv6,1
208,ESP,10
2360,IPv6,1
59653,IPv6,1
64819,OSPF,1
628,ICMP,16
59701,AH,1
59270,ICMP,1
47719,ESP,1
57531,GRE,1
48252,OSPF,1
707,UDP,8
718,TCP,4
82,OSPF,6
62863,UDP,1
38782,ICMP,1
209,ESP,11
57614,ICMPv6,1
55959,IPv6,1
708,UDP,12
719,TCP,8
31055,GRE,1
38345,GRE,1
63002,IPv6,1
10522,GRE,1
14480,GRE,1
57552,ESP,1
81,OSPF,9
56335,GRE,1
28508,GRE,1
58161,TCP,1
38783,ICMP,1
58730,GRE,1
5966,IPv6,1
61322,ICMP,1
63850,ICMP,1
20292,ESP,1
709,UDP,14
58939,OSPF,1
22310,AH,1
39560,ESP,1
24971,AH,1
48255,OSPF,2
93,ICMPv6,9
31611,IPv6,1
30413,IPv6,1
49522,TCP,1
21247,AH,1
791,ICMPv6,9
56594,GRE,1
25377,OSPF,1
54083,ESP,1
58899,AH,1
781,OSPF,12
12811,ESP,1
50927,IPv6,1
85,OSPF,8
53964,GRE,1
53831,GRE,1
92,ICMPv6,16
3132,UDP,1
480,AH,7
23595,IPv6,1
60467,UDP,1
36918,GRE,1
83,OSPF,4
60201,UDP,1
30974,ESP,1
792,ICMPv6,16
53607,AH,1
57090,TCP,1
780,OSPF,10
4141,OSPF,1
52064,TCP,1
84,OSPF,11
91,ICMPv6,14
54148,ICMPv6,1
481,AH,12
53554,IPv6,1
32581,OSPF,1
21116,AH,1
21493,ESP,1
793,ICMPv6,13
62230,ESP,1
21860,UDP,1
49143,ESP,1
54591,TCP,1
650,OSPF,10
783,OSPF,9
16828,OSPF,1
61531,UDP,1
39003,IPv6,1
22692,ESP,1
87,OSPF,11
14743,UDP,1
14876,UDP,1
10967,ICMP,1
90,ICMPv6,9
3130,UDP,1
56677,ICMPv6,1
482,AH,8
5340,OSPF,1
794,ICMPv6,8
49641,UDP,1
782,OSPF,13
63740,OSPF,1
61530,UDP,1
61541,TCP,1
52062,TCP,1
59965,AH,1
86,OSPF,5
483,AH,8
350,AH,10
51306,GRE,1
60015,OSPF,1
62545,OSPF,1
97,ICMPv6,18
53132,TCP,1
39802,UDP,1
23082,ICMP,1
16826,OSPF,1
661,ICMPv6,9
56498,AH,1
652,OSPF,13
98,ICMPv6,7
785,OSPF,6
11315,IPv6,1
89,OSPF,10
61030,ESP,1
484,AH,9
351,AH,10
55284,ESP,1
17540,IPv6,1
96,ICMPv6,12
49121,GRE,2
16342,IPv6,1
21994,UDP,1
60330,UDP,1
660,ICMPv6,7
55478,ICMPv6,1
52506,GRE,1
784,OSPF,15
651,OSPF,11
44613,UDP,1
88,OSPF,8
20542,TCP,1
2075,TCP,1
51747,ICMP,1
352,AH,8
18388,OSPF,1
95,ICMPv6,8
52502,GRE,1
56669,OSPF,1
54199,GRE,1
50505,TCP,1
2776,GRE,1
39989,ICMP,1
56592,GRE,1
485,AH,16
21900,IPv6,1
1830,UDP,1
50929,IPv6,1
62115,AH,1
53852,ESP,1
654,OSPF,9
521,OSPF,14
787,OSPF,8
44918,IPv6,1
2367,IPv6,1
55131,GRE,1
48000,ICMPv6,1
20167,ESP,1
25992,IPv6,1
94,ICMPv6,11
11068,ICMP,1
32154,AH,1
21651,ICMP,1
40693,AH,1
62684,ICMPv6,1
486,AH,14
56593,GRE,1
220,AH,8
353,AH,8
790,ICMPv6,10
44403,ICMP,1
520,OSPF,8
53174,ICMP,1
53386,UDP,1
653,OSPF,11
786,OSPF,11
4590,UDP,1
55130,GRE,1
61580,ICMP,1
221,AH,11
62728,UDP,1
54254,OSPF,1
171,IPv6,10
799,ICMPv6,10
29041,ICMPv6,1
487,AH,10
354,AH,12
55150,AH,1
532,ICMPv6,11
55461,ICMPv6,1
665,ICMPv6,5
31361,ICMPv6,1
9417,IPv6,1
656,OSPF,13
523,OSPF,11
789,OSPF,9
222,AH,7
170,IPv6,18
65101,TCP,1
488,AH,7
355,AH,5
55282,AH,1
50303,ICMPv6,1
28099,OSPF,1
36308,UDP,1
580,GRE,12
531,ICMPv6,7
664,ICMPv6,15
522,OSPF,12
26233,AH,1
44200,GRE,1
788,OSPF,12
655,OSPF,11
49438,OSPF,1
56653,OSPF,1
223,AH,6
173,IPv6,7
489,AH,12
356,AH,10
47968,AH,1
56786,OSPF,1
25215,ICMPv6,1
52701,ICMPv6,1
530,ICMPv6,9
663,ICMPv6,13
45389,IPv6,1
581,GRE,4
45609,OSPF,1
7828,TCP,1
658,OSPF,11
525,OSPF,8
62207,GRE,1
224,AH,11
172,IPv6,18
61027,ESP,1
4349,UDP,1
23686,IPv6,1
21025,IPv6,1
57550,AH,1
357,AH,9
23420,IPv6,1
21454,ESP,1
662,ICMPv6,9
582,GRE,12
99,ICMPv6,6
524,OSPF,4
657,OSPF,5
175,IPv6,7
61,ICMP,7
225,AH,12
54250,OSPF,1
29170,ICMPv6,1
358,AH,8
60282,ICMPv6,1
795,ICMPv6,6
53060,ICMPv6,2
583,GRE,9
891,ICMP,17
450,GRE,9
46804,OSPF,1
536,ICMPv6,12
403,ICMPv6,12
669,ICMPv6,15
50871,UDP,1
25208,OSPF,1
527,OSPF,9
30166,ICMPv6,1
174,IPv6,9
64918,ICMP,1
29293,OSPF,1
226,AH,9
60,ICMP,6
359,AH,9
796,ICMPv6,9
17610,ESP,1
25794,TCP,1
52827,OSPF,1
980,TCP,4
470,ESP,13
584,GRE,8
451,GRE,9
890,ICMP,11
43660,TCP,1
61535,TCP,1
402,ICMPv6,4
50795,ICMP,1
535,ICMPv6,10
3149,UDP,1
668,ICMPv6,12
54260,ICMPv6,1
526,OSPF,12
659,OSPF,5
30036,ICMPv6,1
63,ICMP,10
227,AH,5
797,ICMPv6,11
981,TCP,10
471,ESP,13
970,UDP,6
13319,UDP,1
177,IPv6,8
30169,ICMPv6,1
893,ICMP,12
50566,ICMPv6,1
760,ICMP,6
57909,UDP,1
585,GRE,13
452,GRE,11
401,ICMPv6,8
534,ICMPv6,9
667,ICMPv6,4
42464,TCP,1
176,IPv6,11
62,ICMP,13
529,OSPF,11
40947,ICMP,1
60143,OSPF,1
45603,OSPF,1
228,AH,11
798,ICMPv6,11
472,ESP,6
453,GRE,10
23986,ESP,1
892,ICMP,4
586,GRE,7
971,UDP,13
982,TCP,9
320,GRE,10
400,ICMPv6,17
4344,UDP,1
533,ICMPv6,8
666,ICMPv6,10
53988,AH,1
54391,ICMPv6,1
50883,TCP,1
528,OSPF,11
9037,ICMP,1
62986,UDP,2
44234,AH,1
20,TCP,10
473,ESP,17
179,IPv6,11
340,ESP,10
43394,GRE,1
321,GRE,7
6751,TCP,1
454,GRE,7
983,TCP,13
972,UDP,10
47298,OSPF,1
850,TCP,10
43036,AH,1
895,ICMP,8
50551,OSPF,1
762,ICMP,8
229,AH,10
41908,OSPF,1
407,ICMPv6,18
587,GRE,5
66,ICMP,13
63085,UDP,1
41739,AH,1
10,UDP,8
21,TCP,10
17807,ICMPv6,1
64,ICMP,8
35054,OSPF,1
24377,ICMP,1
8659,AH,1
341,ESP,10
474,ESP,10
7014,IPv6,1
63619,ICMPv6,2
33417,GRE,1
178,IPv6,8
761,ICMP,14
984,TCP,13
973,UDP,9
322,GRE,10
851,TCP,9
840,UDP,7
894,ICMP,13
44100,AH,1
406,ICMPv6,14
65,ICMP,15
539,ICMPv6,10
588,GRE,11
29930,GRE,1
8170,UDP,1
455,GRE,10
22,TCP,13
11,UDP,10
56707,UDP,1
30206,UDP,1
475,ESP,12
342,ESP,13
985,TCP,13
974,UDP,10
631,ICMP,7
61446,ICMP,1
897,ICMP,8
764,ICMP,13
852,TCP,10
841,UDP,13
49412,ICMP,1
24597,TCP,1
63920,UDP,1
27796,GRE,1
28285,UDP,1
32429,OSPF,1
538,ICMPv6,17
405,ICMPv6,7
65351,UDP,1
323,GRE,8
68,ICMP,11
589,GRE,8
456,GRE,7
