dstport,protocol,tag
318,TCP,SG-255
38843,ESP,App3
107,ICMPv6,Cache
683,TCP,App4
65,TCP,Web
319,ICMPv6,App1
546,ICMP,App4
541,ESP,Prod
769,OSPF,SG-729
176,AH,App1
385,ESP,Web
943,ESP,Dev
49538,TCP,Test
43281,ICMPv6,Messaging
611,IPv6,SG-249
620,IPv6,SG-230
106,ESP,Web
802,OSPF,Database
458,ESP,App4
547,ICMP,Database
322,ICMPv6,App2
60968,GRE,Dev
52705,ICMPv6,Dev
52755,ICMP,SG-87
539,OSPF,App4
48396,ICMPv6,Dev
915,OSPF,App1
60673,OSPF,App3
573,ESP,Database
843,IPv6,SG-765
50203,AH,App1
412,GRE,App4
241,ESP,Staging
645,TCP,Dev
21082,OSPF,Database
522,IPv6,SG-460
15761,TCP,App3
335,TCP,Database
897,OSPF,Prod
3175,ICMPv6,SG-960
859,ICMP,Dev
44356,ICMPv6,App3
217,IPv6,Dev
16640,UDP,SG-599
91,OSPF,SG-266
109,AH,Messaging
913,ICMP,App3
42659,OSPF,Database
266,AH,Staging
55556,IPv6,Messaging
90,UDP,Staging
950,ICMPv6,Messaging
631,OSPF,SG-521
1022,UDP,Prod
354,ESP,Web
58544,ESP,Database
19155,IPv6,Database
1438,TCP,Database
306,IPv6,Test
70,TCP,Web
851,TCP,SG-76
192,AH,App3
13849,TCP,Dev
1000,GRE,SG-631
64753,ESP,App4
875,GRE,SG-606
44027,ICMP,Test
442,ICMP,Messaging
27166,ESP,SG-842
821,ESP,App2
134,ESP,Dev
669,OSPF,SG-172
53867,ICMPv6,Test
51097,TCP,SG-917
113,AH,Web
51657,OSPF,Test
537,ICMP,App4
923,GRE,App1
43852,TCP,App1
144,ICMPv6,SG-62
624,ICMP,App4
446,OSPF,App3
63908,TCP,SG-806
257,GRE,Web
59201,ESP,Messaging
463,IPv6,App2
12177,ICMP,Web
422,ICMP,App3
339,OSPF,SG-165
715,ESP,Staging
423,TCP,App3
796,AH,App1
964,ICMPv6,Web
250,GRE,Database
32215,TCP,App2
65437,TCP,Database
22,ICMPv6,SG-478
774,ICMPv6,Staging
11144,AH,Database
5878,ICMPv6,App4
4272,ICMP,App4
407,IPv6,SG-762
623,ICMPv6,App4
49957,OSPF,SG-576
26,IPv6,App2
514,OSPF,Database
456,AH,SG-921
185,ESP,App1
724,ICMP,Database
1002,IPv6,App3
547,OSPF,SG-183
384,UDP,SG-278
49866,OSPF,Dev
62656,ESP,Test
15697,TCP,App1
15986,TCP,SG-617
772,ICMPv6,App2
903,ICMPv6,Dev
371,ICMP,Database
822,ESP,App4
56411,ICMPv6,SG-527
511,OSPF,App4
55316,IPv6,SG-235
959,ESP,Messaging
11711,IPv6,SG-562
586,TCP,Cache
902,ICMP,Staging
63107,UDP,SG-105
678,AH,App3
1011,AH,Staging
922,TCP,SG-185
933,OSPF,SG-137
473,UDP,App4
368,UDP,Test
48119,ICMPv6,Staging
359,TCP,Staging
52878,GRE,Cache
30097,ESP,Dev
6466,TCP,Web
287,UDP,App3
383,ICMPv6,Web
699,ESP,Test
796,ICMP,Web
30548,ICMP,Database
13,TCP,App3
134,AH,Database
769,ICMP,SG-972
294,ESP,SG-817
216,TCP,SG-500
602,UDP,App4
324,ICMPv6,Cache
713,TCP,Messaging
774,GRE,SG-637
17635,TCP,App2
1002,UDP,App3
59827,AH,App1
5386,IPv6,App1
810,GRE,App3
10664,IPv6,Staging
710,UDP,SG-280
86,AH,Messaging
758,ICMP,SG-704
683,GRE,SG-824
42944,ICMPv6,Database
6607,AH,App4
956,OSPF,SG-689
872,ICMP,SG-136
56582,OSPF,Test
64373,GRE,Staging
46173,UDP,App4
64967,ESP,SG-854
525,IPv6,SG-886
81,AH,App4
66,AH,SG-620
146,TCP,Prod
479,OSPF,Staging
24074,UDP,App4
845,OSPF,Web
587,ESP,Staging
42512,UDP,App3
955,TCP,Web
2811,ICMPv6,App3
971,ICMPv6,SG-735
154,UDP,Messaging
118,TCP,Web
453,UDP,App1
86,UDP,SG-238
50051,GRE,Web
416,ICMP,Dev
12090,UDP,Staging
62187,OSPF,Web
12892,UDP,Web
23213,AH,Messaging
543,ICMPv6,Prod
723,ICMPv6,SG-611
63320,AH,Dev
987,AH,Staging
512,IPv6,SG-949
838,OSPF,App3
452,UDP,App1
26314,GRE,App4
60062,GRE,Staging
26794,IPv6,Prod
567,OSPF,Dev
727,AH,App2
635,OSPF,App4
1007,ICMPv6,SG-404
509,UDP,App1
24548,ICMPv6,App4
481,AH,SG-972
680,AH,App1
811,GRE,Test
51838,GRE,Messaging
417,ICMP,SG-952
658,UDP,Messaging
158,UDP,SG-691
48438,ESP,App1
966,AH,Test
654,TCP,Database
842,OSPF,App3
130,ESP,Database
39517,IPv6,Web
50797,OSPF,Web
304,OSPF,App3
243,UDP,App3
258,ICMPv6,App1
34608,ICMP,App3
521,AH,Test
822,GRE,SG-821
825,GRE,Staging
20369,TCP,Dev
221,GRE,Database
273,OSPF,SG-890
53477,OSPF,Test
879,ESP,App3
739,AH,Test
729,GRE,App3
279,ESP,App3
35572,OSPF,SG-124
26997,ESP,Staging
968,UDP,App3
509,OSPF,Cache
688,OSPF,Prod
49704,UDP,Prod
21,IPv6,SG-704
441,TCP,SG-331
18,AH,SG-419
768,ICMPv6,Database
478,UDP,Database
620,ESP,SG-759
50757,AH,Cache
24496,TCP,SG-749
36780,UDP,App2
41,ICMP,Web
472,IPv6,Test
490,AH,App1
737,ESP,App3
424,TCP,Cache
38583,OSPF,Cache
17337,UDP,Dev
639,TCP,Database
485,ICMPv6,Database
33,ICMPv6,Prod
23857,AH,Staging
477,ESP,Cache
644,ESP,Staging
353,TCP,Test
20981,IPv6,Database
877,IPv6,Database
58512,TCP,App3
22376,IPv6,App3
50475,AH,Staging
833,ICMP,SG-345
20200,GRE,Web
542,ESP,App2
287,ICMP,SG-79
251,AH,Test
971,ESP,App2
60,ICMPv6,SG-463
740,OSPF,Test
924,TCP,SG-252
517,GRE,Database
175,ESP,Cache
189,OSPF,Dev
593,GRE,Database
3099,GRE,Staging
16363,TCP,Database
795,GRE,Cache
864,ICMP,Web
317,IPv6,SG-621
49750,AH,App4
322,AH,App4
881,UDP,Dev
404,OSPF,App2
6593,UDP,Test
722,ICMPv6,Staging
737,UDP,App4
372,ICMP,Database
242,AH,Cache
593,OSPF,App2
948,ICMPv6,App1
53836,UDP,Dev
994,GRE,Cache
21384,UDP,Cache
39500,OSPF,Cache
16,GRE,SG-98
668,OSPF,SG-280
35,IPv6,SG-555
48776,AH,SG-630
317,UDP,SG-46
825,UDP,Database
64247,UDP,Dev
245,ICMP,App3
552,AH,App2
64431,ESP,Messaging
21141,AH,SG-453
733,ICMP,SG-193
983,ESP,Staging
75,UDP,SG-459
44000,GRE,Database
357,ICMP,SG-934
627,UDP,SG-783
867,ICMP,Dev
435,AH,App3
42810,GRE,SG-35
184,AH,SG-181
1023,GRE,App1
21,UDP,App2
201,ICMPv6,Prod
841,ICMPv6,SG-607
954,ICMP,App3
290,UDP,Staging
41132,ICMP,Dev
19151,UDP,Test
27,UDP,App2
336,IPv6,Web
942,ESP,App3
776,ESP,SG-870
3745,IPv6,Cache
877,AH,Staging
57887,IPv6,Prod
283,ICMPv6,Prod
17125,GRE,Prod
997,ICMPv6,Web
10502,GRE,Prod
458,UDP,Database
22878,IPv6,Database
17,ICMPv6,Database
61101,AH,Dev
111,TCP,Messaging
19378,ICMPv6,Staging
41267,ICMP,Messaging
15231,GRE,Cache
3,ESP,Database
650,ESP,Dev
169,ICMP,App3
526,UDP,Test
34545,ICMP,App1
630,TCP,SG-230
468,IPv6,Cache
599,UDP,SG-471
53820,TCP,App3
343,ICMP,SG-550
41465,ESP,Messaging
13784,ESP,App1
467,OSPF,App4
48565,OSPF,Prod
318,ICMPv6,App4
128,ICMP,App2
710,OSPF,SG-616
34670,OSPF,SG-101
87,IPv6,App2
147,ICMP,Test
430,TCP,Database
39434,TCP,App4
63474,OSPF,SG-29
319,TCP,Dev
289,GRE,Cache
40480,AH,Database
958,ICMP,App3
28081,UDP,SG-542
428,UDP,Dev
972,OSPF,Database
52042,ICMP,App4
5723,UDP,App3
18181,ESP,SG-179
195,ICMPv6,SG-178
50888,ICMP,SG-847
5133,ESP,Dev
351,ICMP,SG-210
770,ICMPv6,SG-343
8386,ICMP,Prod
105,TCP,App2
2503,TCP,SG-196
41100,GRE,App1
341,OSPF,Messaging
408,ESP,Prod
925,ICMP,Cache
538,UDP,Test
983,AH,SG-68
1013,ESP,App1
21,TCP,SG-122
1110,GRE,Prod
94,UDP,Cache
804,ESP,App3
304,IPv6,Dev
787,ICMP,Prod
662,ICMP,Messaging
18630,ESP,Prod
557,IPv6,App3
808,UDP,App1
19138,ESP,Messaging
731,OSPF,App4
54892,ICMP,SG-639
40619,ICMP,Messaging
50289,IPv6,Prod
377,ESP,Prod
865,ICMPv6,SG-907
29158,GRE,Dev
93,ICMP,Web
25255,ESP,SG-998
718,TCP,Test
908,ESP,Prod
16918,OSPF,App3
63,ICMPv6,Test
1007,TCP,SG-509
326,UDP,SG-221
945,GRE,Cache
9617,IPv6,SG-206
810,TCP,Web
20,ESP,Messaging
969,AH,App1
24019,ESP,App4
57668,TCP,App2
860,GRE,Cache
481,GRE,Prod
448,UDP,Staging
9,UDP,App3
551,ESP,Dev
961,TCP,Dev
865,UDP,Dev
555,OSPF,Staging
976,OSPF,App1
208,ICMP,Database
610,OSPF,Prod
228,AH,Messaging
10641,AH,SG-355
11564,IPv6,Messaging
62161,UDP,Staging
683,OSPF,Staging
164,GRE,App1
64,IPv6,SG-317
235,ICMP,SG-458
967,GRE,App3
300,TCP,Prod
740,AH,SG-966
10563,AH,SG-404
752,AH,App2
428,ESP,Prod
363,UDP,SG-355
277,AH,App3
20110,OSPF,Web
28891,ICMPv6,SG-702
346,OSPF,SG-317
26424,OSPF,SG-560
990,AH,SG-521
884,ESP,Dev
580,OSPF,Prod
57545,GRE,App1
785,TCP,SG-404
48626,AH,SG-465
63742,AH,Web
761,ESP,Test
21856,ESP,SG-882
39465,UDP,App1
448,ICMPv6,Web
646,IPv6,App3
55,OSPF,SG-852
9583,ESP,Messaging
901,TCP,App2
44052,ICMP,Test
135,GRE,Database
3827,ICMPv6,SG-983
52519,TCP,Web
873,OSPF,Dev
774,ESP,Dev
23151,GRE,App3
341,ICMPv6,Cache
34060,UDP,Messaging
400,OSPF,App3
543,ESP,Database
23638,ICMPv6,App1
46432,TCP,SG-690
17015,GRE,Web
691,ESP,SG-436
924,GRE,Dev
25337,ESP,App1
649,OSPF,SG-998
926,UDP,Messaging
917,OSPF,Prod
526,IPv6,Web
18313,OSPF,SG-885
695,GRE,SG-273
865,GRE,App1
78,ICMPv6,Database
947,TCP,Test
46335,ESP,Staging
4046,UDP,Dev
655,ESP,Test
47596,ESP,Cache
29626,ESP,Staging
407,ESP,Messaging
475,OSPF,Cache
174,UDP,App1
348,ICMP,App1
359,AH,Web
349,AH,Test
232,ICMPv6,Dev
380,ESP,App3
52853,ICMPv6,Cache
675,IPv6,SG-821
402,ICMPv6,Test
4485,GRE,SG-501
13,IPv6,SG-272
680,ICMP,SG-585
57052,OSPF,Messaging
12640,IPv6,SG-338
144,ICMP,Prod
152,UDP,Test
261,ESP,Prod
183,IPv6,SG-548
193,ICMPv6,App1
558,ESP,Messaging
19813,ESP,App2
36751,ESP,Database
294,OSPF,Dev
423,OSPF,App4
906,OSPF,SG-804
25,IPv6,SG-194
41,IPv6,Cache
857,UDP,SG-694
759,OSPF,SG-253
763,TCP,Test
397,OSPF,Cache
36774,TCP,SG-192
971,TCP,Prod
49,IPv6,App1
373,ICMP,Dev
676,AH,App3
15503,OSPF,Messaging
31047,IPv6,Database
351,ICMPv6,App2
339,TCP,Staging
425,UDP,Staging
389,GRE,App1
928,ICMP,Cache
3071,ESP,Messaging
56333,UDP,Test
174,GRE,Web
94,AH,App4
52824,GRE,SG-506
442,UDP,Messaging
569,OSPF,Messaging
5,ICMPv6,SG-924
22958,ICMP,Prod
18979,OSPF,Web
754,ESP,Cache
45,ICMPv6,App4
13771,TCP,SG-201
316,IPv6,Dev
916,ESP,App2
30469,IPv6,Dev
502,ESP,App3
56967,TCP,Web
703,ICMPv6,App2
51102,ICMP,Dev
782,TCP,Dev
75,OSPF,Test
209,OSPF,SG-82
652,GRE,Dev
984,UDP,App2
840,OSPF,Database
45761,AH,App2
53656,TCP,Dev
52264,AH,App2
6,GRE,App2
378,UDP,Test
9886,OSPF,Prod
51,ICMP,App3
36791,TCP,Staging
51,ICMPv6,App2
338,TCP,SG-385
53631,IPv6,Messaging
531,ICMPv6,App3
56193,OSPF,SG-502
51607,AH,Dev
45219,UDP,App1
56449,AH,Test
1011,ICMPv6,App3
14497,GRE,Cache
731,ICMP,SG-908
62752,IPv6,App4
940,IPv6,App1
714,TCP,Database
987,OSPF,SG-313
375,IPv6,App1
729,OSPF,Database
400,ICMP,SG-43
451,OSPF,Prod
216,IPv6,App4
31,ICMP,App1
58548,IPv6,SG-583
796,UDP,Messaging
54046,IPv6,Messaging
10849,TCP,SG-17
1008,UDP,SG-970
415,IPv6,SG-535
367,ESP,App4
56,ICMP,SG-472
47458,IPv6,App2
54918,TCP,Messaging
11,TCP,SG-368
34528,GRE,App2
554,ICMP,Cache
21444,ICMP,Staging
10912,OSPF,SG-51
495,ESP,Web
354,TCP,SG-692
28606,OSPF,Cache
613,TCP,Database
63430,ESP,App4
574,ESP,Dev
32641,AH,Web
670,ICMPv6,Cache
59813,UDP,SG-830
19142,ICMPv6,Prod
434,TCP,Test
25,AH,Messaging
6074,TCP,Test
855,ESP,App3
56395,UDP,App3
945,TCP,Prod
75,AH,SG-496
604,ESP,SG-198
624,ICMPv6,Test
100,OSPF,SG-931
791,ICMPv6,SG-846
73,AH,Database
9255,GRE,Web
765,IPv6,SG-171
993,GRE,Database
619,ICMPv6,Web
885,ICMP,Test
1829,UDP,App2
40577,ICMP,Cache
218,AH,App1
179,ICMP,Test
39084,UDP,App1
473,TCP,App2
54145,OSPF,Staging
300,ICMPv6,App1
1007,GRE,SG-625
821,ICMPv6,App2
779,ICMP,SG-95
505,AH,App3
312,ICMP,SG-208
426,IPv6,App3
663,AH,SG-994
975,ICMP,Web
895,UDP,Messaging
228,IPv6,App1
989,ICMPv6,Web
25372,IPv6,Dev
36128,UDP,App2
57557,UDP,SG-168
598,ICMP,App3
35910,OSPF,Dev
163,UDP,Database
246,ICMP,Prod
12515,ICMPv6,Test
14045,ICMP,App3
44238,ICMPv6,Messaging
943,GRE,Dev
791,GRE,Staging
69,GRE,App1
1019,OSPF,Dev
153,IPv6,SG-0
83,UDP,Prod
209,UDP,Cache
526,OSPF,SG-167
2414,ICMPv6,App2
648,OSPF,SG-410
439,ICMPv6,App1
713,ICMP,SG-90
32649,ICMPv6,Messaging
599,ESP,Web
630,IPv6,Database
921,TCP,SG-59
704,TCP,Cache
207,AH,Staging
790,TCP,Cache
5,AH,App3
422,OSPF,SG-85
600,OSPF,Messaging
2,IPv6,SG-533
409,TCP,SG-813
4,ICMP,Staging
780,ESP,Cache
640,UDP,SG-280
331,UDP,Cache
52,TCP,Web
2133,UDP,Messaging
666,GRE,Web
614,ICMP,SG-149
127,AH,Database
760,ICMPv6,SG-78
315,UDP,Staging
26973,ICMPv6,SG-628
22115,OSPF,Dev
188,ICMPv6,App1
317,ESP,Prod
952,TCP,Web
111,AH,Database
970,OSPF,Messaging
635,IPv6,App3
246,UDP,Web
380,ICMP,SG-447
50,ICMP,App1
30744,ICMP,SG-996
156,OSPF,Staging
273,ESP,Web
162,OSPF,SG-540
809,ICMPv6,Web
150,ICMPv6,App2
642,AH,Database
44077,ICMP,Database
8568,UDP,App1
866,IPv6,App2
40722,IPv6,Staging
278,GRE,Messaging
64,UDP,App1
944,OSPF,SG-830
645,ICMPv6,SG-418
220,ESP,Prod
744,ESP,App4
230,AH,Prod
654,UDP,SG-171
915,ESP,Messaging
61186,ICMP,Dev
51353,TCP,App2
238,OSPF,App4
12914,UDP,App2
387,GRE,Web
104,AH,Web
118,ESP,Test
944,AH,Messaging
608,ICMPv6,Prod
156,ICMPv6,SG-168
643,ICMPv6,Dev
370,ICMP,App1
38329,ICMP,Prod
271,UDP,Database
980,TCP,Cache
460,AH,Dev
253,ICMP,Staging
562,AH,SG-982
699,GRE,App1
522,UDP,App3
39572,AH,App3
290,IPv6,Messaging
124,ICMP,App3
203,ICMP,Database
43661,OSPF,Messaging
775,AH,App1
30841,ICMP,Prod
33142,TCP,App1
39708,ICMP,App1
27194,ICMP,App3
763,GRE,Messaging
493,AH,App1
892,UDP,Staging
21119,ESP,Cache
767,AH,Staging
271,ICMPv6,Cache
4314,IPv6,App4
38709,IPv6,App4
707,ICMPv6,Messaging
842,GRE,Prod
931,UDP,App3
43086,ESP,Database
438,ICMP,Prod
141,TCP,Prod
49526,GRE,SG-987
460,GRE,SG-196
191,ICMP,App3
949,UDP,Messaging
350,OSPF,SG-857
9174,ESP,Test
2596,ESP,SG-11
186,UDP,App1
70,ESP,Database
41598,ESP,Test
521,OSPF,Dev
12917,TCP,Messaging
355,UDP,Database
207,TCP,Prod
559,IPv6,Staging
43871,AH,Database
839,OSPF,App2
87,ESP,App1
967,IPv6,App3
13838,ICMP,App1
391,GRE,App1
51442,ESP,SG-693
25668,OSPF,App1
678,ICMPv6,Web
818,UDP,Test
47608,ESP,Messaging
677,GRE,App1
972,AH,SG-360
409,IPv6,App2
50683,IPv6,Test
53162,ICMPv6,Web
603,ICMP,Web
57047,IPv6,App4
924,AH,SG-446
731,GRE,Database
468,ICMP,SG-535
39497,OSPF,Dev
715,AH,App4
518,OSPF,Cache
562,OSPF,Web
625,AH,SG-471
976,AH,Web
753,ESP,Prod
95,GRE,SG-897
731,IPv6,SG-642
131,OSPF,App2
3,ICMP,SG-467
558,IPv6,Web
403,ICMP,Database
55994,ESP,Staging
341,UDP,App2
81,GRE,App1
892,AH,Cache
60681,GRE,App3
529,UDP,App1
156,IPv6,Database
1897,ICMPv6,Dev
947,AH,App2
37119,ICMP,SG-682
48346,IPv6,Database
62862,GRE,Prod
50687,GRE,Test
58876,ESP,Dev
945,IPv6,SG-336
32687,IPv6,SG-978
229,GRE,Dev
748,GRE,Messaging
925,ICMPv6,SG-847
98,ICMPv6,SG-252
801,ICMP,SG-52
64006,ICMPv6,Staging
306,ICMPv6,App2
61,UDP,SG-853
36709,UDP,App3
10715,IPv6,Test
61837,GRE,App2
56872,ICMP,SG-985
211,GRE,Dev
37593,ICMP,Database
261,GRE,Cache
564,IPv6,Dev
901,UDP,SG-418
589,OSPF,Test
404,IPv6,Database
320,ICMPv6,App2
62273,TCP,App4
53056,GRE,App2
7965,OSPF,Database
778,IPv6,App2
895,IPv6,SG-708
839,UDP,App1
569,ESP,Web
351,AH,Web
431,TCP,App1
419,ICMP,Prod
317,ICMP,App4
871,GRE,Cache
972,ICMP,SG-462
816,AH,Staging
299,OSPF,SG-268
33044,ICMP,Staging
267,GRE,Database
709,TCP,Dev
63351,UDP,SG-504
474,ICMP,Cache
1016,IPv6,App1
222,AH,App2
3,AH,App4
38783,GRE,App3
391,OSPF,SG-509
93,OSPF,App4
41,ESP,SG-71
48,ESP,SG-714
60,ICMP,Web
944,ICMP,Staging
8625,IPv6,SG-240
1,ICMP,Messaging
591,ICMPv6,Dev
333,AH,Database
618,ICMP,SG-240
152,TCP,App1
213,TCP,Test
53611,IPv6,Test
580,GRE,Test
585,ESP,App4
658,ICMPv6,Messaging
12570,IPv6,Cache
581,ICMP,App3
545,ESP,Test
45583,OSPF,Database
59,OSPF,App4
727,UDP,Staging
383,ESP,Dev
56145,TCP,App2
17038,GRE,App1
779,ESP,Web
309,ICMPv6,Staging
332,TCP,SG-464
1006,ICMPv6,Dev
330,IPv6,Web
13918,ICMPv6,Messaging
511,ESP,App4
934,IPv6,Messaging
