dstport,protocol,tag
42767,ICMP,App1
31456,ESP,Cache
50761,ICMP,Database
55842,ICMPv6,Web
750,ICMP,Staging
615,IPv6,Prod
52250,ESP,SG-138
490,IPv6,Database
424,ICMPv6,App1
949,OSPF,App4
58133,AH,App3
107,AH,Dev
317,AH,Web
461,ICMPv6,Database
494,ESP,App1
320,IPv6,Web
717,UDP,SG-455
62119,IPv6,Prod
421,AH,App1
4266,OSPF,SG-925
30355,GRE,App3
13991,GRE,SG-155
391,AH,Prod
169,ICMPv6,Dev
365,ESP,Messaging
262,AH,Test
285,IPv6,SG-631
92,UDP,Messaging
8,OSPF,Web
44644,ICMP,SG-981
574,IPv6,SG-215
626,ICMP,App2
54883,TCP,Web
824,TCP,Dev
959,OSPF,SG-829
463,IPv6,SG-708
149,IPv6,SG-398
611,IPv6,App1
261,AH,Cache
659,UDP,Web
105,ESP,SG-668
52593,TCP,App2
976,GRE,Prod
216,TCP,SG-881
159,AH,SG-462
12710,ICMPv6,Dev
981,GRE,Staging
844,OSPF,App4
25150,OSPF,App4
236,ESP,Dev
414,AH,Prod
872,UDP,App1
309,UDP,Dev
587,ICMP,Staging
34,OSPF,SG-626
60230,ICMP,App3
176,IPv6,App1
4,OSPF,Cache
55096,OSPF,Cache
36497,UDP,SG-891
32491,AH,SG-901
18254,GRE,SG-896
480,TCP,App4
206,IPv6,Cache
65,ESP,Database
180,TCP,App4
624,UDP,Dev
230,IPv6,Test
749,AH,SG-836
40882,ICMP,SG-0
12,OSPF,SG-224
457,AH,Prod
45055,AH,Web
58533,ICMP,SG-190
95,UDP,App3
2354,UDP,App3
45,ICMP,SG-58
114,ICMPv6,App4
617,OSPF,Staging
1,AH,Dev
504,ICMPv6,Dev
505,UDP,Messaging
890,UDP,App3
61458,UDP,Prod
45030,OSPF,App4
827,ESP,App4
530,IPv6,App3
540,UDP,Database
47,TCP,Prod
225,TCP,Messaging
812,GRE,App1
321,IPv6,App1
46794,ICMP,Web
998,ESP,Prod
888,UDP,SG-724
457,ESP,SG-207
552,AH,Staging
303,UDP,App4
42317,ESP,Staging
10108,OSPF,App2
30927,GRE,Web
60,AH,Web
47,ESP,Test
472,ICMPv6,App2
835,ESP,Web
638,OSPF,App4
133,AH,Web
202,IPv6,Database
29,ICMPv6,Cache
34,AH,App2
13805,GRE,Messaging
1012,ESP,App3
25715,AH,Web
39633,IPv6,SG-296
20130,IPv6,Test
514,ESP,Web
46241,UDP,Dev
51807,OSPF,Test
710,OSPF,App3
731,ESP,Cache
793,ICMPv6,Messaging
676,OSPF,Staging
29430,UDP,App2
63276,UDP,App4
103,TCP,Cache
274,ICMPv6,Test
518,ICMPv6,Database
146,OSPF,SG-810
797,UDP,Database
39678,ICMP,App1
44076,OSPF,Staging
755,GRE,SG-2
50436,TCP,Cache
6381,ICMPv6,Dev
58336,TCP,Staging
24195,ICMPv6,Database
564,TCP,App3
719,OSPF,Prod
50108,GRE,App4
442,ICMP,Prod
937,IPv6,SG-737
404,UDP,SG-815
932,AH,SG-538
593,ICMPv6,SG-25
381,ICMP,SG-600
12112,ICMPv6,SG-957
112,TCP,SG-181
856,GRE,Web
930,ICMPv6,Staging
60329,TCP,Web
22064,GRE,App4
564,IPv6,App3
1015,IPv6,App4
958,ICMP,SG-516
145,AH,SG-858
57681,ICMPv6,Dev
22,AH,SG-796
1007,IPv6,SG-302
832,UDP,Database
871,GRE,SG-645
863,UDP,Dev
4988,ICMP,Web
848,UDP,App2
253,UDP,Cache
960,ESP,Test
726,IPv6,Prod
295,ICMPv6,App1
829,IPv6,SG-231
225,UDP,App3
620,GRE,SG-48
1022,GRE,App2
63617,TCP,App1
1005,GRE,SG-159
20842,ICMP,Test
552,UDP,Database
573,ICMPv6,App3
248,GRE,Test
693,OSPF,Staging
932,OSPF,Staging
59270,UDP,SG-718
58345,IPv6,SG-63
871,ESP,App2
208,GRE,Web
168,IPv6,App2
500,ICMP,Messaging
627,IPv6,Staging
861,OSPF,SG-316
652,TCP,SG-669
59399,OSPF,App2
81,OSPF,Database
49555,TCP,SG-294
196,AH,Staging
29491,IPv6,Messaging
480,OSPF,Dev
111,ESP,App1
416,ICMPv6,SG-532
831,IPv6,Prod
933,OSPF,Prod
605,ICMP,Web
61933,GRE,Staging
791,TCP,Staging
875,ICMPv6,SG-897
830,AH,App4
470,UDP,Cache
724,OSPF,SG-791
744,ICMP,SG-755
31904,ICMP,Dev
28507,OSPF,Cache
56,ESP,Test
31762,GRE,SG-738
154,UDP,Test
609,TCP,SG-93
220,ESP,SG-350
26726,ICMP,Database
762,ESP,SG-841
885,OSPF,Messaging
698,OSPF,SG-604
350,AH,App2
39699,OSPF,SG-972
567,ESP,Database
919,UDP,App2
224,ICMP,SG-112
436,UDP,Dev
930,IPv6,App3
643,IPv6,Web
638,GRE,SG-350
656,GRE,App3
41360,OSPF,Web
39858,OSPF,SG-95
781,AH,App3
20,ICMP,Dev
795,OSPF,Web
857,TCP,Dev
844,ESP,SG-800
55238,TCP,Database
624,ICMP,Cache
401,TCP,App3
16340,ICMPv6,Web
862,TCP,Cache
15295,ESP,Web
757,TCP,App4
48411,TCP,Cache
1002,IPv6,Messaging
775,UDP,Test
70,OSPF,Database
725,IPv6,App4
756,IPv6,App3
295,ICMP,Database
52799,ICMP,SG-193
365,IPv6,App3
6273,OSPF,Prod
361,TCP,SG-629
370,AH,Dev
6,UDP,SG-448
25783,ICMP,Database
746,TCP,SG-607
1005,OSPF,Cache
12977,ICMP,SG-334
1011,OSPF,Staging
119,IPv6,App1
1556,OSPF,Web
213,IPv6,App4
185,IPv6,App4
598,OSPF,Messaging
155,TCP,Dev
273,OSPF,Web
800,ICMPv6,Database
9055,TCP,SG-636
556,ICMP,Cache
550,AH,Dev
21485,ESP,App2
478,UDP,Prod
1023,UDP,SG-465
5744,IPv6,SG-491
902,IPv6,Web
58779,OSPF,App4
153,GRE,Staging
2713,TCP,Staging
1017,UDP,App3
320,UDP,Cache
233,GRE,Test
903,AH,App1
1000,UDP,Staging
567,TCP,Staging
24653,GRE,Cache
466,OSPF,App2
25,ICMP,SG-18
1006,IPv6,Dev
6767,ICMP,SG-831
239,IPv6,SG-443
159,ICMP,Messaging
976,ICMPv6,Test
407,ICMP,Test
509,OSPF,SG-513
610,IPv6,Staging
307,UDP,Dev
43806,ICMP,SG-406
890,ICMPv6,Cache
592,ICMPv6,SG-263
18727,UDP,Messaging
57219,ICMP,Web
17030,OSPF,App1
626,AH,App3
1002,GRE,App3
25574,ICMPv6,SG-728
586,OSPF,Cache
941,OSPF,App2
936,AH,App4
751,AH,Dev
333,IPv6,Dev
14585,ICMPv6,Database
13002,GRE,SG-454
801,AH,Test
652,OSPF,App1
52661,GRE,SG-876
63797,ESP,Cache
54463,GRE,Database
41545,IPv6,SG-939
22040,ICMP,App1
5025,IPv6,Messaging
511,UDP,Web
16538,TCP,Prod
441,IPv6,SG-964
296,ESP,Test
37440,ICMPv6,SG-904
796,ICMPv6,Prod
810,ICMPv6,App4
49911,UDP,Test
33351,ESP,Web
386,ICMP,SG-410
576,OSPF,SG-392
188,TCP,App2
16650,ICMPv6,App4
648,ICMPv6,App4
39797,ICMPv6,Test
245,UDP,SG-477
137,AH,Dev
272,TCP,Test
807,GRE,SG-823
986,TCP,Web
440,TCP,Database
124,GRE,Test
164,TCP,Test
947,ESP,SG-950
27194,AH,Web
378,UDP,App3
10174,OSPF,SG-559
20259,OSPF,Prod
35280,AH,SG-783
425,UDP,SG-831
750,AH,Cache
62245,GRE,Test
42754,TCP,Cache
352,GRE,App4
446,GRE,App4
785,TCP,Cache
335,ICMPv6,SG-288
779,ICMP,Cache
2481,UDP,Cache
1018,IPv6,App1
53223,AH,SG-383
159,IPv6,Prod
191,IPv6,App4
697,UDP,App1
879,GRE,App3
241,ICMP,SG-865
151,IPv6,SG-564
653,IPv6,SG-878
1005,IPv6,App3
826,ESP,App3
783,TCP,SG-585
342,TCP,Staging
409,ESP,Staging
667,TCP,App4
759,ICMP,App4
764,AH,Dev
916,IPv6,Web
217,ICMPv6,Web
590,OSPF,App4
420,ESP,Staging
48695,AH,Prod
495,ESP,Cache
58933,ICMPv6,SG-67
54822,IPv6,Database
73,AH,Web
334,ICMPv6,Database
670,ICMP,SG-909
193,ICMPv6,Web
250,OSPF,Staging
36,GRE,Web
26680,OSPF,Staging
119,ICMP,App3
20179,OSPF,Messaging
25806,UDP,App3
21887,GRE,SG-536
1003,UDP,Prod
477,AH,Test
184,AH,SG-774
140,OSPF,SG-758
379,ESP,Cache
39685,TCP,App4
6352,TCP,SG-450
616,IPv6,SG-50
794,UDP,Prod
505,GRE,Staging
34339,ICMPv6,App2
56591,TCP,SG-956
557,AH,SG-522
124,ICMPv6,Web
42215,OSPF,App1
676,ICMPv6,Staging
105,ICMP,Web
37651,ESP,Test
54533,TCP,Test
29214,TCP,Cache
14834,OSPF,Database
63139,OSPF,Dev
395,ICMP,App2
685,OSPF,Staging
62,ESP,Database
921,ICMPv6,Messaging
874,ESP,SG-638
1014,ESP,SG-977
360,TCP,Test
66,TCP,Staging
35273,TCP,App1
219,GRE,Staging
696,ICMP,App3
810,OSPF,SG-746
634,TCP,Test
26486,UDP,App1
946,ICMPv6,Cache
50361,OSPF,Cache
144,UDP,Prod
278,ESP,App3
29,ESP,SG-451
355,ESP,SG-808
168,UDP,App3
160,ICMPv6,App1
243,GRE,SG-164
559,UDP,SG-293
29645,UDP,Web
131,ICMPv6,Web
857,IPv6,Database
107,ESP,SG-369
429,ICMP,App3
51378,AH,Prod
58724,GRE,Database
666,TCP,Staging
769,ICMPv6,SG-3
179,UDP,Prod
20265,IPv6,Messaging
47887,ICMP,SG-575
9977,AH,App2
878,TCP,SG-929
5849,IPv6,Database
43,ESP,App1
584,OSPF,App4
50073,ICMP,App3
55686,IPv6,SG-1
627,ICMPv6,Dev
42984,IPv6,Dev
63,OSPF,SG-855
486,TCP,Messaging
52244,OSPF,Cache
32028,TCP,Staging
662,IPv6,Prod
989,IPv6,Web
1022,ESP,Database
651,ICMP,Dev
406,IPv6,Database
456,ICMPv6,App3
47780,AH,App3
48,ICMPv6,App4
119,ESP,Database
957,TCP,SG-969
603,ICMPv6,App1
59941,IPv6,SG-886
52,TCP,Prod
54446,IPv6,Messaging
420,ICMPv6,App1
22904,ICMPv6,Staging
58404,ICMP,App1
669,GRE,Test
11708,UDP,App3
421,TCP,Cache
653,ICMP,Test
884,AH,App3
570,OSPF,Cache
540,AH,Messaging
1000,OSPF,Dev
27951,AH,SG-407
848,TCP,Messaging
676,GRE,Dev
47977,UDP,Messaging
96,TCP,App4
735,OSPF,Database
81,GRE,Web
411,TCP,Staging
49795,ICMPv6,Staging
60981,ESP,Staging
15086,AH,SG-464
140,UDP,SG-140
11944,ICMPv6,Database
14128,IPv6,Cache
1008,TCP,Staging
825,ICMP,App3
969,OSPF,Test
484,AH,Test
17325,GRE,Database
60252,TCP,Prod
61181,OSPF,Dev
547,ESP,Cache
531,UDP,Prod
331,ICMPv6,App4
879,IPv6,Staging
773,ESP,Prod
454,ESP,App3
61437,GRE,SG-612
39646,UDP,App3
534,OSPF,App4
22917,GRE,Test
767,OSPF,Test
258,TCP,Staging
41224,ICMPv6,Prod
30,OSPF,App3
826,AH,Messaging
44380,ICMPv6,Test
4381,AH,Web
630,AH,App3
185,OSPF,App3
5311,OSPF,Cache
671,AH,SG-856
661,ICMPv6,App3
170,TCP,Dev
332,ICMPv6,SG-832
120,ICMPv6,Messaging
50281,TCP,SG-684
21350,ICMP,App4
61728,OSPF,App4
573,ESP,SG-246
990,AH,App1
924,ESP,SG-355
897,UDP,Cache
793,GRE,App3
823,ESP,Prod
262,TCP,Web
442,OSPF,Cache
34719,ICMPv6,Test
14095,ICMPv6,Cache
915,UDP,App3
17312,UDP,Database
80,IPv6,Web
169,ICMP,App4
554,OSPF,Prod
913,IPv6,App1
62,ICMP,Cache
443,ESP,Messaging
225,AH,App1
707,UDP,Test
973,AH,Test
720,UDP,SG-609
8660,UDP,SG-480
542,OSPF,Prod
663,IPv6,SG-153
895,GRE,Messaging
521,AH,App1
428,ICMPv6,Staging
238,TCP,Web
288,OSPF,SG-886
291,ICMP,SG-198
73,OSPF,SG-32
206,ICMP,SG-572
3926,ICMPv6,App2
388,TCP,Dev
558,GRE,SG-311
64189,GRE,Test
19383,GRE,SG-375
851,UDP,SG-968
59293,OSPF,App4
39802,UDP,Cache
28864,OSPF,App2
747,ICMPv6,App2
104,ESP,Messaging
5040,ICMP,App3
670,ICMPv6,Cache
827,ICMPv6,Staging
359,UDP,Cache
142,ICMPv6,SG-231
39311,UDP,Database
40966,ICMPv6,SG-119
570,UDP,Prod
288,ICMP,Staging
852,GRE,Web
802,OSPF,Prod
951,UDP,SG-501
231,GRE,Staging
2279,ESP,SG-901
564,OSPF,Staging
8,GRE,Prod
729,OSPF,Web
469,UDP,App4
120,UDP,Test
51,AH,App4
40340,IPv6,App2
3378,TCP,SG-366
11,ICMPv6,App1
722,OSPF,App3
951,OSPF,Dev
299,ESP,App3
25919,TCP,Prod
227,UDP,Dev
283,IPv6,App3
5544,TCP,App2
9762,UDP,SG-499
958,UDP,App2
225,GRE,App3
475,AH,Database
31521,ICMP,Web
29090,IPv6,Staging
32340,GRE,Messaging
140,IPv6,Test
297,OSPF,Staging
299,OSPF,App2
8608,GRE,App1
419,IPv6,Cache
672,UDP,Web
54389,AH,Test
151,ICMP,Prod
601,ICMPv6,App3
457,UDP,Prod
889,GRE,App4
437,UDP,Database
950,IPv6,Test
24107,UDP,SG-628
439,UDP,SG-823
682,ESP,Prod
291,OSPF,Cache
335,IPv6,SG-550
56842,IPv6,App2
761,ESP,App4
556,IPv6,App1
53358,ESP,App3
15925,OSPF,Database
44825,ICMPv6,Prod
54,IPv6,App3
283,TCP,App3
59547,IPv6,Dev
608,ICMP,App2
793,TCP,App1
934,AH,Web
623,AH,SG-330
63280,UDP,SG-200
49194,AH,Staging
36420,TCP,Cache
50435,ICMPv6,Database
249,OSPF,SG-153
110,AH,SG-786
774,GRE,SG-487
250,IPv6,App2
934,TCP,App3
173,ICMPv6,SG-852
46817,GRE,Web
24859,GRE,App4
398,ESP,Web
582,ICMPv6,Staging
41567,GRE,SG-118
640,IPv6,Cache
48536,ICMP,Test
670,OSPF,Cache
248,IPv6,Staging
55865,ICMP,SG-482
19114,ICMP,Dev
12904,ICMP,Messaging
552,OSPF,Prod
736,AH,App2
56,ICMP,SG-647
863,TCP,App4
539,GRE,Web
19,GRE,SG-705
921,AH,SG-376
811,GRE,Cache
526,ICMPv6,Database
774,ESP,App1
110,TCP,Database
594,OSPF,SG-233
37433,TCP,SG-611
881,UDP,Staging
2,GRE,Web
61461,GRE,Messaging
434,GRE,Dev
59070,ICMPv6,Prod
183,AH,Web
600,TCP,SG-421
42652,OSPF,Database
16996,UDP,SG-43
27638,UDP,Messaging
841,OSPF,Database
16035,GRE,Dev
699,IPv6,App1
225,ICMP,Database
456,AH,App3
62119,UDP,SG-405
533,GRE,Staging
31012,AH,SG-93
227,GRE,Cache
39680,ICMP,App4
509,ICMPv6,SG-161
64325,UDP,App1
17036,GRE,Dev
32726,OSPF,Dev
65432,TCP,Messaging
8853,IPv6,Prod
840,GRE,SG-297
484,TCP,SG-391
104,UDP,App3
28726,OSPF,App3
340,OSPF,SG-469
913,ESP,Database
555,OSPF,SG-680
622,ESP,SG-463
413,UDP,App3
45155,GRE,Dev
14,ICMP,Database
127,OSPF,App1
702,GRE,SG-795
15862,ESP,Test
980,TCP,App4
251,IPv6,Database
11147,AH,Database
115,GRE,App2
490,ICMPv6,App2
117,OSPF,Dev
60787,ICMP,Prod
610,TCP,SG-34
443,AH,App2
232,IPv6,SG-610
9,GRE,Web
156,IPv6,Database
744,ICMPv6,Dev
85,ICMPv6,SG-657
11355,ESP,App1
661,TCP,Messaging
77,ICMP,Dev
476,OSPF,Test
9076,IPv6,Staging
346,AH,Dev
598,AH,Test
723,TCP,Cache
175,UDP,Test
46514,GRE,SG-766
534,ICMPv6,App1
344,IPv6,Cache
646,IPv6,Messaging
25681,TCP,Cache
63325,TCP,App2
764,ICMPv6,App2
741,IPv6,App3
736,ICMP,Test
324,TCP,App3
813,GRE,Web
362,GRE,SG-789
454,IPv6,App1
533,IPv6,App3
472,ICMP,SG-659
413,ICMPv6,Test
912,ICMP,Staging
721,ESP,SG-56
885,ICMPv6,App4
85,AH,Dev
268,TCP,SG-536
433,IPv6,Staging
4590,IPv6,Staging
366,ICMP,Test
65520,ICMPv6,Staging
53798,OSPF,Database
593,AH,Database
78,ICMPv6,SG-760
935,IPv6,Messaging
226,GRE,App2
836,IPv6,Staging
32924,TCP,Web
342,GRE,Dev
12387,GRE,Database
14201,AH,SG-950
864,AH,Web
546,AH,App4
562,GRE,Web
53981,ESP,SG-416
716,IPv6,SG-625
55208,AH,Messaging
532,TCP,SG-274
596,ICMP,Database
3856,OSPF,Prod
886,ICMPv6,App3
551,UDP,App1
907,ESP,SG-543
901,IPv6,SG-673
396,ICMPv6,Dev
708,UDP,SG-971
984,TCP,Test
438,TCP,App2
49328,ICMPv6,Prod
60697,TCP,Database
33780,TCP,Web
951,ICMP,Prod
940,OSPF,Cache
542,ESP,Test
209,TCP,SG-295
9769,OSPF,App3
110,ESP,SG-29
969,UDP,Database
146,TCP,Messaging
223,ESP,Staging
5,IPv6,Test
471,UDP,Prod
32829,TCP,SG-340
209,ICMP,Staging
12588,AH,SG-264
878,ICMP,App3
727,OSPF,Staging
475,ICMPv6,App2
533,ICMP,Staging
319,GRE,App4
311,AH,SG-999
969,GRE,SG-459
10309,ESP,Test
974,AH,Prod
488,TCP,App4
56355,ICMPv6,Cache
352,TCP,App3
25830,TCP,Staging
242,TCP,SG-743
23725,ICMP,App4
47,UDP,Cache
28277,AH,App3
151,ICMPv6,Prod
110,UDP,SG-100
806,ESP,Messaging
578,TCP,SG-550
28309,IPv6,Prod
26549,OSPF,Database
62439,IPv6,SG-858
962,OSPF,SG-62
76,ICMPv6,SG-998
38546,UDP,Web
43489,ICMPv6,SG-104
55407,ICMPv6,Prod
496,OSPF,Test
4079,GRE,App2
80,ICMPv6,SG-64
460,AH,Database
208,IPv6,App2
492,ICMPv6,Cache
849,ESP,Test
854,ICMP,SG-856
164,ICMPv6,Test
19705,ICMP,Dev
750,ESP,App2
34114,IPv6,Staging
113,IPv6,SG-394
40612,TCP,SG-177
2,TCP,Web
823,OSPF,SG-205
468,ESP,SG-623
171,UDP,App3
859,OSPF,App4
852,ICMP,SG-269
60943,OSPF,Test
57109,OSPF,SG-38
173,OSPF,SG-361
536,UDP,App2
436,IPv6,Staging
27691,ICMPv6,SG-183
31,UDP,SG-451
634,AH,Messaging
965,ESP,Prod
50141,ESP,Staging
528,TCP,Database
686,IPv6,Test
800,ICMP,Cache
57462,UDP,SG-375
130,AH,Dev
775,TCP,Web
867,ESP,Staging
566,IPv6,Dev
708,ICMP,SG-585
57045,OSPF,Cache
249,IPv6,SG-315
11499,GRE,Database
722,ICMPv6,SG-996
43373,UDP,App1
224,ICMPv6,Prod
49625,GRE,SG-77
554,AH,Prod
552,TCP,SG-570
505,AH,App3
655,ESP,SG-258
4770,UDP,App4
627,GRE,Prod
4113,AH,Test
51601,UDP,Test
487,AH,SG-145
921,UDP,Web
918,ICMP,Prod
845,ESP,Prod
199,UDP,App2
45105,TCP,App2
595,UDP,SG-347
102,AH,App3
38562,TCP,Cache
47185,ICMPv6,App4
865,ICMP,Cache
813,ICMPv6,Cache
74,ESP,Staging
875,ICMP,Web
587,UDP,Test
219,TCP,SG-154
922,IPv6,SG-100
4948,IPv6,Database
286,ESP,App4
53581,AH,Test
63250,ICMPv6,SG-890
419,TCP,Web
971,ICMP,Web
768,ICMPv6,Dev
7063,GRE,App3
57,UDP,App1
38395,ICMPv6,App3
973,ICMP,SG-840
72,ICMPv6,SG-352
894,AH,Prod
58947,ESP,SG-284
723,OSPF,App4
509,TCP,SG-720
524,AH,App4
15897,ESP,Test
147,IPv6,App1
52623,UDP,Test
59814,GRE,SG-721
755,ICMP,Database
52704,IPv6,SG-380
33027,ICMP,Messaging
814,GRE,Web
34141,TCP,App3
958,ESP,App2
474,ESP,App1
184,GRE,App4
693,UDP,Dev
27285,ICMP,SG-853
886,IPv6,App2
79,TCP,App1
50607,ICMP,SG-653
861,ICMPv6,Test
64655,ICMPv6,App3
199,ICMPv6,Test
372,ICMPv6,Dev
70,GRE,Test
33428,UDP,SG-71
56713,ESP,SG-990
246,ICMPv6,SG-537
395,UDP,App3
726,ICMP,SG-781
1009,ICMP,App3
130,ESP,Web
434,IPv6,Web
28405,GRE,Database
38109,OSPF,App2
748,OSPF,SG-161
388,AH,Web
998,TCP,App2
874,ICMPv6,Test
818,IPv6,Database
392,TCP,Prod
288,TCP,Staging
893,IPv6,App2
118,OSPF,Cache
887,ICMPv6,SG-726
689,ICMP,Staging
413,GRE,Database
380,UDP,App2
60658,GRE,Database
45530,IPv6,SG-268
33817,ICMPv6,App4
989,AH,Cache
646,AH,Cache
318,ESP,App1
954,ICMP,Messaging
545,ESP,Test
721,ICMP,SG-13
988,UDP,App3
55846,ICMP,Database
19718,OSPF,SG-119
4294,GRE,App1
53474,ICMPv6,Test
39680,UDP,App1
31085,IPv6,Dev
64403,ICMP,Database
311,GRE,Database
54590,IPv6,App1
569,ICMP,App1
61582,IPv6,Dev
625,ICMPv6,Staging
708,ESP,Cache
407,OSPF,Test
10,ICMPv6,SG-204
196,ICMP,SG-322
559,ICMP,App1
550,TCP,Messaging
603,TCP,Messaging
569,OSPF,App2
464,ICMP,Prod
918,ICMPv6,SG-567
616,ESP,SG-421
312,ESP,App1
373,UDP,Staging
59395,ESP,Staging
886,ICMP,SG-544
785,OSPF,SG-161
10273,AH,Dev
48,AH,App4
866,TCP,Database
62367,ESP,SG-785
690,ESP,Database
571,AH,Dev
52208,ESP,Messaging
906,ICMP,App1
417,GRE,Staging
60524,ICMPv6,App1
54655,UDP,SG-39
32717,GRE,Database
43,TCP,Staging
365,ICMPv6,Cache
32763,ICMP,App4
19996,ESP,Database
463,ICMP,Staging
39831,ICMPv6,App3
714,UDP,App2
27532,UDP,Prod
811,OSPF,Staging
828,ICMP,Cache
467,TCP,Cache
19,ESP,SG-549
561,IPv6,Test
990,ICMP,App2
888,ICMP,App3
381,ICMPv6,App2
473,GRE,App2
906,ICMPv6,Staging
34100,IPv6,SG-258
3589,OSPF,Database
311,ICMP,Prod
20623,ICMP,SG-891
57725,UDP,App4
283,UDP,Web
774,OSPF,Cache
927,AH,App4
167,ICMP,SG-6
188,OSPF,SG-903
730,TCP,Dev
61922,AH,App1
48897,TCP,App4
618,ESP,Test
53,GRE,SG-577
402,AH,App1
381,TCP,SG-107
44251,OSPF,Staging
885,UDP,Prod
263,TCP,App3
4168,AH,Web
113,TCP,App4
235,ICMP,SG-284
20195,TCP,App1
63928,OSPF,Dev
12,ICMP,Database
597,ICMPv6,App3
54770,ESP,App3
178,GRE,SG-150
15,IPv6,App1
992,TCP,App3
837,TCP,Messaging
36883,TCP,Database
944,TCP,SG-443
616,AH,App1
36377,OSPF,Web
457,TCP,Database
723,AH,Cache
780,AH,SG-913
241,TCP,Staging
25127,ICMP,Staging
918,IPv6,SG-188
145,TCP,Dev
15663,AH,App1
20024,ESP,Prod
567,GRE,App2
27588,TCP,SG-668
668,TCP,App1
13821,ICMP,App2
447,UDP,Prod
568,ICMP,App3
308,IPv6,SG-535
25514,IPv6,App4
501,OSPF,Prod
185,ICMPv6,SG-823
63665,ESP,App2
517,GRE,App4
17460,UDP,SG-708
875,OSPF,Cache
5794,AH,SG-920
460,ICMPv6,Web
658,ICMPv6,SG-598
778,IPv6,App2
160,AH,Test
547,ICMP,Prod
29398,GRE,SG-925
219,UDP,Dev
504,UDP,Database
568,OSPF,SG-198
845,UDP,Web
913,UDP,SG-730
988,GRE,App3
755,OSPF,Cache
854,IPv6,Messaging
164,AH,Database
22388,TCP,App1
409,ICMP,Messaging
972,ICMP,App2
321,ICMP,Staging
33202,IPv6,Cache
28880,ICMPv6,Dev
400,ESP,Web
51097,UDP,SG-476
17270,TCP,Messaging
32,IPv6,Cache
199,AH,App4
815,GRE,SG-562
9043,OSPF,App4
346,TCP,App2
495,ICMPv6,App4
646,ESP,Cache
598,GRE,Prod
879,AH,Messaging
20835,TCP,Database
8186,UDP,App2
776,GRE,Database
907,GRE,Test
31501,OSPF,Web
774,TCP,Prod
263,IPv6,Messaging
936,TCP,Staging
29832,UDP,Test
4432,TCP,Web
660,IPv6,SG-554
818,ESP,Messaging
7300,OSPF,App4
361,OSPF,App4
61,IPv6,Web
589,ICMP,Staging
45678,GRE,App4
27,OSPF,SG-156
415,OSPF,SG-995
27029,GRE,Database
145,UDP,Prod
933,UDP,Messaging
2684,ICMPv6,Cache
64801,ESP,Dev
676,TCP,App2
22685,AH,SG-3
370,GRE,SG-371
10002,IPv6,Messaging
481,ICMPv6,SG-835
967,IPv6,Test
855,AH,Test
55748,ICMP,Dev
15358,GRE,App4
727,ICMPv6,Prod
277,AH,SG-521
10,IPv6,App3
652,IPv6,Cache
572,OSPF,Cache
63766,ICMPv6,Test
22101,AH,Web
37656,ICMPv6,Staging
51069,OSPF,App4
60932,TCP,SG-270
54516,IPv6,Prod
14852,AH,App3
527,ICMPv6,Database
33643,UDP,Messaging
8628,AH,App1
183,ICMP,Web
134,IPv6,SG-960
41214,GRE,SG-250
224,AH,App4
